order	driver	client	start	end	client_bill	driver_bill	fraud	city_number	animal	baby_seat	luggage	percent
1049894659	11761846	74848771	2020-07-13 17:53:29	2020-07-13 18:28:47	142	150	1	3	0	0	0	23.2
1119995287	17434811	13828474	2020-08-04 21:26:08	2020-08-04 21:31:15	160	178	1	3	0	0	0	5
1129050403	17583003	45947886	2020-08-07 16:31:09	2020-08-07 17:01:19	114	200	1	3	0	0	0	4
1075969999	17430379	84420139	2020-07-22 07:29:53	2020-07-22 07:34:16	98	250	1	3	0	0	0	26.6
1082535283	17357683	26162106	2020-07-24 12:20:29	2020-07-24 12:25:19	69	200	1	3	0	0	0	5
1082018431	17301427	66326807	2020-07-24 08:53:42	2020-07-24 09:00:01	202	202	1	3	0	0	0	6
1081040899	17031023	84880691	2020-07-23 21:37:21	2020-07-23 21:39:12	69	200	1	3	0	0	0	20.8
1079705383	17376419	20111050	2020-07-23 13:30:02	2020-07-23 13:32:56	69	200	1	3	0	0	0	26.6
1078325635	15046630	6729856	2020-07-22 23:33:52	2020-07-22 23:42:47	208	208	1	3	0	0	0	26.6
1092718171	17301427	24538954	2020-07-27 14:37:50	2020-07-27 14:46:45	120	200	1	3	0	0	0	25.2
1047554107	17332883	7192038	2020-07-12 22:37:37	2020-07-12 22:38:04	201	201	1	3	0	0	0	5
1106654803	11761846	81803191	2020-07-31 20:05:09	2020-07-31 20:07:13	69	200	1	3	0	0	0	20.8
1073750095	17424651	69142131	2020-07-21 11:41:47	2020-07-21 11:53:50	69	200	1	3	0	0	0	5
1113348751	12296846	12304630	2020-08-02 19:03:01	2020-08-02 19:05:10	476	476	1	3	0	0	0	26.5
1129188415	17583003	19396262	2020-08-07 17:06:19	2020-08-07 17:14:44	150	200	1	3	0	0	0	4
1077769195	13692766	27246958	2020-07-22 19:22:12	2020-07-22 19:40:24	101	200	1	3	0	0	0	24.6
1132830835	17730423	40192510	2020-08-08 16:19:19	2020-08-08 16:23:48	400	400	1	3	0	0	0	5
1096564807	16463251	81946495	2020-07-28 19:25:58	2020-07-28 19:27:32	69	200	1	3	0	0	0	27.6
1058954155	16309247	82910827	2020-07-16 20:57:17	2020-07-16 21:17:14	124	200	1	3	0	0	0	26.6
1103309503	17357683	26162106	2020-07-30 22:08:19	2020-07-30 22:12:05	69	200	1	3	0	0	0	26.6
1122952879	13309758	70349927	2020-08-05 20:46:34	2020-08-05 20:51:16	382	382	1	3	0	0	0	24.6
1080147847	11960714	21728418	2020-07-23 16:13:35	2020-07-23 16:27:57	0	977	1	3	0	0	0	19.8
1119768935	17782051	18897590	2020-08-04 20:00:47	2020-08-04 20:17:34	172	172	1	3	0	0	0	5
1047892979	16156603	17623806	2020-07-13 03:05:19	2020-07-13 03:05:56	81	150	1	3	0	0	0	27.6
1040348063	15653731	12686730	2020-07-10 15:09:17	2020-07-10 15:19:36	126	126	1	3	0	0	0	3
1052816795	15443211	19372998	2020-07-14 18:02:16	2020-07-14 18:03:23	69	69	1	3	0	0	0	24.1
1122884567	17523951	78013763	2020-08-05 20:22:10	2020-08-05 20:24:33	317	317	1	3	0	0	0	4
1133575475	17293819	81127379	2020-08-08 20:00:15	2020-08-08 20:09:36	166	200	1	3	0	0	0	19.8
1039620923	15939771	12648382	2020-07-10 11:13:15	2020-07-10 11:44:02	237	237	1	3	0	0	0	26.6
1128973391	15432039	70349927	2020-08-07 16:10:12	2020-08-07 16:19:19	81	81	1	3	0	0	0	26.6
1113744131	17705471	67501251	2020-08-02 20:55:13	2020-08-02 21:15:44	76	150	1	3	0	0	0	4
